"activity_period","activity_type_code","adjusted_activity_type_code","adjusted_passenger_count","boarding_area","geo_region","geo_summary","month","operating_airline","operating_airline_iata_code","passenger_count","price_category_code","published_airline","published_airline_iata_code","terminal","year"
"200507","Deplaned","Deplaned","27271","B","US","Domestic","July","ATA Airlines","TZ","27271","Low Fare","ATA Airlines","TZ","Terminal 1","2005"
"200507","Enplaned","Enplaned","29131","B","US","Domestic","July","ATA Airlines","TZ","29131","Low Fare","ATA Airlines","TZ","Terminal 1","2005"
"200507","Thru / Transit","Thru / Transit * 2","10830","B","US","Domestic","July","ATA Airlines","TZ","5415","Low Fare","ATA Airlines","TZ","Terminal 1","2005"
"200507","Deplaned","Deplaned","35156","B","Canada","International","July","Air Canada ","AC","35156","Other","Air Canada ","AC","Terminal 1","2005"
"200507","Enplaned","Enplaned","34090","B","Canada","International","July","Air Canada ","AC","34090","Other","Air Canada ","AC","Terminal 1","2005"
"200507","Deplaned","Deplaned","6263","G","Asia","International","July","Air China","CA","6263","Other","Air China","CA","International","2005"
"200507","Enplaned","Enplaned","5500","G","Asia","International","July","Air China","CA","5500","Other","Air China","CA","International","2005"
"200507","Deplaned","Deplaned","12050","A","Europe","International","July","Air France","AF","12050","Other","Air France","AF","International","2005"
"200507","Enplaned","Enplaned","11638","A","Europe","International","July","Air France","AF","11638","Other","Air France","AF","International","2005"
"200507","Deplaned","Deplaned","4998","G","Australia / Oceania","International","July","Air New Zealand","NZ","4998","Other","Air New Zealand","NZ","International","2005"
"200507","Enplaned","Enplaned","4962","G","Australia / Oceania","International","July","Air New Zealand","NZ","4962","Other","Air New Zealand","NZ","International","2005"
"200507","Deplaned","Deplaned","8055","A","US","Domestic","July","AirTran Airways","FL","8055","Low Fare","AirTran Airways","FL","International","2005"
"200507","Enplaned","Enplaned","7984","A","US","Domestic","July","AirTran Airways","FL","7984","Low Fare","AirTran Airways","FL","International","2005"
"200507","Deplaned","Deplaned","36641","A","US","Domestic","July","Alaska Airlines","AS","36641","Other","Alaska Airlines","AS","International","2005"
"200507","Enplaned","Enplaned","39379","A","US","Domestic","July","Alaska Airlines","AS","39379","Other","Alaska Airlines","AS","International","2005"
"200507","Thru / Transit","Thru / Transit * 2","7356","A","US","Domestic","July","Alaska Airlines","AS","3678","Other","Alaska Airlines","AS","International","2005"
"200507","Deplaned","Deplaned","7977","A","Canada","International","July","Alaska Airlines","AS","7977","Other","Alaska Airlines","AS","International","2005"
"200507","Enplaned","Enplaned","8837","A","Canada","International","July","Alaska Airlines","AS","8837","Other","Alaska Airlines","AS","International","2005"
"200507","Deplaned","Deplaned","6969","A","Mexico","International","July","Alaska Airlines","AS","6969","Other","Alaska Airlines","AS","International","2005"
"200507","Enplaned","Enplaned","10046","A","Mexico","International","July","Alaska Airlines","AS","10046","Other","Alaska Airlines","AS","International","2005"
"200507","Thru / Transit","Thru / Transit * 2","4532","A","Mexico","International","July","Alaska Airlines","AS","2266","Other","Alaska Airlines","AS","International","2005"
"200507","Deplaned","Deplaned","6545","G","Asia","International","July","All Nippon Airways","NH","6545","Other","All Nippon Airways","NH","International","2005"
"200507","Enplaned","Enplaned","6094","G","Asia","International","July","All Nippon Airways","NH","6094","Other","All Nippon Airways","NH","International","2005"
"200507","Deplaned","Deplaned","166577","E","US","Domestic","July","American Airlines","AA","166577","Other","American Airlines","AA","Terminal 3","2005"
"200507","Enplaned","Enplaned","160890","E","US","Domestic","July","American Airlines","AA","160890","Other","American Airlines","AA","Terminal 3","2005"
"200507","Deplaned","Deplaned","5493","E","US","Domestic","July","American Eagle Airlines","MQ","5493","Other","American Airlines","AA","Terminal 3","2005"
"200507","Enplaned","Enplaned","5213","E","US","Domestic","July","American Eagle Airlines","MQ","5213","Other","American Airlines","AA","Terminal 3","2005"
"200507","Deplaned","Deplaned","5041","A","Asia","International","July","Asiana Airlines","OZ","5041","Other","Asiana Airlines","OZ","International","2005"
"200507","Enplaned","Enplaned","4744","A","Asia","International","July","Asiana Airlines","OZ","4744","Other","Asiana Airlines","OZ","International","2005"
"200507","Deplaned","Deplaned","1552","C","US","Domestic","July","Atlantic Southeast Airlines","EV","1552","Other","Delta Air Lines","DL","Terminal 1","2005"
"200507","Enplaned","Enplaned","1484","C","US","Domestic","July","Atlantic Southeast Airlines","EV","1484","Other","Delta Air Lines","DL","Terminal 1","2005"
"200507","Deplaned","Deplaned","325","A","Europe","International","July","BelAir Airlines","4T","325","Other","BelAir Airlines","4T","International","2005"
"200507","Enplaned","Enplaned","545","A","Europe","International","July","BelAir Airlines","4T","545","Other","BelAir Airlines","4T","International","2005"
"200507","Deplaned","Deplaned","20632","A","Europe","International","July","British Airways","BA","20632","Other","British Airways","BA","International","2005"
"200507","Enplaned","Enplaned","21686","A","Europe","International","July","British Airways","BA","21686","Other","British Airways","BA","International","2005"
"200507","Deplaned","Deplaned","11010","A","Asia","International","July","Cathay Pacific","CX","11010","Other","Cathay Pacific","CX","International","2005"
